Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
250000,1.427787,-0.21423812,779.9230769230769,-2.7996925574082594,-2.7996925574082594,1.0
260000,1.4272658,-0.15865374,896.5,-3.6775002628564835,-3.6775002628564835,1.0
270000,1.4271886,-0.12919673,649.5294117647059,-1.2037061487927156,-1.2037061487927156,1.0
280000,1.426644,-0.15210879,740.3846153846154,-1.784769425025353,-1.784769425025353,1.0
290000,1.4266111,-0.13488622,596.6470588235294,-0.5744377188384533,-0.5744377188384533,1.0
300000,1.4259673,-0.11726797,771.2727272727273,-1.585500215490659,-1.585500215490659,1.0
310000,1.4259398,-0.0074132616,663.5882352941177,-0.9680590664639193,-0.9680590664639193,1.0
320000,1.4254361,-0.1031409,641.8,-1.1987144010407584,-1.1987144010407584,1.0
330000,1.425422,-0.06645016,694.7058823529412,-1.135937724262476,-1.135937724262476,1.0
340000,1.4254684,-0.108238384,600.4285714285714,-1.0038751289248466,-1.0038751289248466,1.0
350000,1.4254683,-0.13966908,652.2307692307693,-1.4693848399015574,-1.4693848399015574,1.0
360000,1.42502,-0.20775425,561.6470588235294,-0.5787061347680933,-0.5787061347680933,1.0
370000,1.4249494,-0.19404642,582.5263157894736,-0.7605792158528378,-0.7605792158528378,1.0
380000,1.4224058,-0.24762787,922.4166666666666,-4.666750431060791,-4.666750431060791,1.0
390000,1.421849,-0.23696688,820.2,-3.4171002984046934,-3.4171002984046934,1.0
400000,1.4204305,-0.3364339,691.3333333333334,-2.13073361714681,-2.13073361714681,1.0
410000,1.4200937,-0.35968435,689.2666666666667,-2.088600305716197,-2.088600305716197,1.0
420000,1.4206902,-0.2969416,616.5882352941177,-1.0500628054141998,-1.0500628054141998,1.0
430000,1.4209268,-0.3400974,662.7857142857143,-2.083733689785004,-2.083733689785004,1.0
440000,1.4204259,-0.28928098,669.8571428571429,-2.3836927184691796,-2.3836927184691796,1.0
450000,1.420164,-0.26284537,669.4117647058823,-1.9250003625364864,-1.9250003625364864,1.0
460000,1.4187658,-0.32701918,599.3125,-0.7121178823358872,-0.7121178823358872,1.0
470000,1.4179128,-0.28651232,687.3333333333334,-2.0724003513654075,-2.0724003513654075,1.0
480000,1.4180982,-0.40522075,828.8181818181819,-3.534091266718778,-3.534091266718778,1.0
490000,1.4182657,-0.43712145,713.6153846153846,-2.358154241855328,-2.358154241855328,1.0
500000,1.4185535,-0.40231737,853.3076923076923,-3.837385044648097,-3.837385044648097,1.0
510000,1.4188155,-0.21809609,669.9285714285714,-1.8515002982957023,-1.8515002982957023,1.0
520000,1.4184855,-0.34833652,801.7857142857143,-3.1745003504412517,-3.1745003504412517,1.0
530000,1.418108,-0.41964024,896.8888888888889,-4.247000416119893,-4.247000416119893,1.0
540000,1.4171615,-0.33433193,808.7333333333333,-3.2882003585497537,-3.2882003585497537,1.0
550000,1.4157258,-0.24557658,999.0,-5.438222693072425,-5.438222693072425,1.0
560000,1.4151378,-0.3916172,766.75,-2.83733361462752,-2.83733361462752,1.0
570000,1.4141337,-0.26260906,528.7,-0.2572501629590988,-0.2572501629590988,1.0
580000,1.4137331,-0.37274045,844.9166666666666,-4.3232730789618055,-4.3232730789618055,1.0
590000,1.4126203,-0.2583656,729.7857142857143,-1.8481336037317913,-1.8481336037317913,1.0
600000,1.4125798,-0.26531792,727.4285714285714,-2.280357356582369,-2.280357356582369,1.0
610000,1.4124558,-0.31265628,780.0769230769231,-2.8283079725045424,-2.8283079725045424,1.0
620000,1.4123331,-0.33102924,737.8181818181819,-2.406727612018585,-2.406727612018585,1.0
630000,1.4116037,-0.313974,689.0,-1.8395336031913758,-1.8395336031913758,1.0
640000,1.4115342,-0.30575308,919.0833333333334,-4.325417011976242,-4.325417011976242,1.0
650000,1.4109001,-0.3004459,738.3571428571429,-2.455643125942775,-2.455643125942775,1.0
660000,1.4109523,-0.2777372,765.4166666666666,-2.6965835988521576,-2.6965835988521576,1.0
670000,1.4115975,-0.27782932,794.4615384615385,-2.9722310258791995,-2.9722310258791995,1.0
680000,1.4116396,-0.23775613,648.0,-1.6946430802345276,-1.6946430802345276,1.0
690000,1.4124229,-0.31655064,909.7272727272727,-3.6200003623962402,-3.6200003623962402,1.0
700000,1.4125698,-0.27427563,653.0625,-1.6602859369346075,-1.6602859369346075,1.0
710000,1.4146308,-0.31601757,906.1,-3.4844169914722443,-3.4844169914722443,1.0
720000,1.4146308,-0.27671233,827.6363636363636,-3.591636749831113,-3.591636749831113,1.0
730000,1.4135712,-0.23951639,599.8421052631579,-0.9658890962600708,-0.9658890962600708,1.0
740000,1.4134382,-0.2461287,734.2857142857143,-2.778200360139211,-2.778200360139211,1.0
750000,1.413777,-0.2547845,716.3846153846154,-2.297000385247744,-2.297000385247744,1.0
760000,1.4139016,-0.33553395,833.8181818181819,-3.3682730360464617,-3.3682730360464617,1.0
770000,1.4135963,-0.20082465,768.0,-2.833750312527021,-2.833750312527021,1.0
780000,1.4135096,-0.18831056,866.3571428571429,-3.8199289739131927,-3.8199289739131927,1.0
790000,1.4134406,-0.16316934,785.2307692307693,-2.7506669610738754,-2.7506669610738754,1.0
800000,1.4134077,-0.2036223,529.125,-0.5879413169973037,-0.5879413169973037,1.0
810000,1.4148462,-0.22931676,551.9411764705883,-0.5864120616632349,-0.5864120616632349,1.0
820000,1.4154822,-0.30622953,855.1538461538462,-3.7709234540279093,-3.7709234540279093,1.0
830000,1.4160671,-0.2344065,793.2857142857143,-3.1402146177632466,-3.1402146177632466,1.0
840000,1.4163245,-0.2674296,763.25,-2.6975836207469306,-2.6975836207469306,1.0
850000,1.4158529,-0.30086726,764.25,-2.735083664457003,-2.735083664457003,1.0
860000,1.4154432,-0.35130328,727.8571428571429,-2.454643189907074,-2.454643189907074,1.0
870000,1.4160749,-0.2395742,912.2727272727273,-4.338454929265109,-4.338454929265109,1.0
880000,1.4166415,-0.23009942,546.6111111111111,-0.3468334906631046,-0.3468334906631046,1.0
890000,1.4159003,-0.2826756,609.5882352941177,-1.0635296176461613,-1.0635296176461613,1.0
900000,1.415022,-0.2609839,874.6363636363636,-3.5955457308075647,-3.5955457308075647,1.0
910000,1.4145747,-0.080269076,526.9545454545455,-0.23368199846961282,-0.23368199846961282,1.0
920000,1.4138986,-0.25779894,822.0,-3.3924549221992493,-3.3924549221992493,1.0
930000,1.4139522,-0.32237804,802.0833333333334,-2.8920837293068566,-2.8920837293068566,1.0
940000,1.4140456,-0.343558,759.4166666666666,-2.6760003119707108,-2.6760003119707108,1.0
950000,1.4136508,-0.2841003,793.2142857142857,-3.0955003244536266,-3.0955003244536266,1.0
960000,1.4127238,-0.13389522,746.3333333333334,-2.49093363682429,-2.49093363682429,1.0
970000,1.4122913,-0.32625663,635.7692307692307,-1.3191541249935443,-1.3191541249935443,1.0
