Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
580000,1.3889707,-0.12716205,633.375,-0.4988751709461212,-0.4988751709461212,1.0
590000,1.38892,-0.24607472,836.8181818181819,-3.6259094801816074,-3.6259094801816074,1.0
600000,1.3882046,-0.14970438,618.8823529411765,-0.6221767173093908,-0.6221767173093908,1.0
610000,1.3872339,-0.12946987,621.1875,-1.2178127951920033,-1.2178127951920033,1.0
620000,1.3876563,-0.014068069,674.9333333333333,-1.6348003307978312,-1.6348003307978312,1.0
630000,1.3883972,-0.093326785,590.0,-0.8704709130174973,-0.8704709130174973,1.0
640000,1.3885022,-0.066443026,562.1111111111111,-0.5842780272165934,-0.5842780272165934,1.0
650000,1.3887179,-0.10579144,579.4705882352941,-0.4898237901575425,-0.4898237901575425,1.0
660000,1.3884255,-0.06585499,492.57894736842104,0.2875787647146928,0.2875787647146928,1.0
670000,1.3875695,-0.003925342,517.7,-0.0134002685546875,-0.0134002685546875,1.0
680000,1.387268,-0.11982421,578.6470588235294,-0.37676488651948814,-0.37676488651948814,1.0
690000,1.386099,-0.037092276,562.6111111111111,-0.5673891802628835,-0.5673891802628835,1.0
700000,1.3859905,-0.2148244,736.6923076923077,-2.3966926290438724,-2.3966926290438724,1.0
710000,1.3853385,0.010086828,564.6842105263158,-0.30815809965133667,-0.30815809965133667,1.0
720000,1.3853368,0.14644301,422.5652173913044,1.1134346153425134,1.1134346153425134,1.0
730000,1.3853315,0.21664898,398.0,1.3359582126140594,1.3359582126140594,1.0
740000,1.3853655,-0.17887291,751.0,-2.361785909959248,-2.361785909959248,1.0
750000,1.3859745,-0.024202647,793.7692307692307,-1.8252502977848053,-1.8252502977848053,1.0
760000,1.3859746,-0.005234728,711.8461538461538,-1.90878598179136,-1.90878598179136,1.0
770000,1.3866531,0.051078286,622.1875,-0.6178751960396767,-0.6178751960396767,1.0
780000,1.3866564,-0.15398031,733.5,-1.5553573753152574,-1.5553573753152574,1.0
790000,1.3846658,0.05809279,611.5625,-0.2488751821219921,-0.2488751821219921,1.0
