Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1070000,1.4219211,-0.09116901,468.8181818181818,0.6056362688541412,0.6056362688541412,1.0
1080000,1.4217055,-0.11252652,650.6,-0.9248002330462138,-0.9248002330462138,1.0
1090000,1.4217064,-0.30731055,723.625,-1.5736925235161414,-1.5736925235161414,1.0
1100000,1.4217268,-0.33787107,773.7272727272727,-2.150428797517504,-2.150428797517504,1.0
1110000,1.421781,-0.17681701,666.5294117647059,-1.2780002075083114,-1.2780002075083114,1.0
1120000,1.422716,-0.1647653,531.5294117647059,0.26005862039678235,0.26005862039678235,1.0
1130000,1.422716,-0.062471572,429.23809523809524,1.4220474986802965,1.4220474986802965,1.0
1140000,1.4221952,-0.2478063,741.2307692307693,-1.40769257912269,-1.40769257912269,1.0
1150000,1.4220803,-0.22127779,789.7142857142857,-2.880500282560076,-2.880500282560076,1.0
1160000,1.4205433,-0.17052875,647.125,-1.0516251400113106,-1.0516251400113106,1.0
1170000,1.4201769,-0.18763255,489.6,0.8821332693099976,0.8821332693099976,1.0
1180000,1.418957,-0.22356775,762.9375,-1.9457503110170364,-1.9457503110170364,1.0
1190000,1.4186115,-0.18579184,808.3076923076923,-2.8925387125748854,-2.8925387125748854,1.0
1200000,1.418699,-0.2380425,732.0909090909091,-2.300000234083696,-2.300000234083696,1.0
1210000,1.4187642,-0.22897463,724.0,-1.623266871770223,-1.623266871770223,1.0
1220000,1.419167,-0.2798121,606.4444444444445,-0.5585883996065926,-0.5585883996065926,1.0
1230000,1.4194106,-0.31150517,675.2142857142857,-1.1670001784960429,-1.1670001784960429,1.0
1240000,1.4197134,-0.26875895,756.75,-2.5383335997660956,-2.5383335997660956,1.0
1250000,1.4198972,-0.17736225,567.5,-0.5911501765251159,-0.5911501765251159,1.0
1260000,1.4196761,-0.36046153,758.0,-2.2645386228194604,-2.2645386228194604,1.0
1270000,1.4194391,-0.15743767,673.5333333333333,-1.7044002294540406,-1.7044002294540406,1.0
1280000,1.4197333,-0.19464615,695.6153846153846,-1.562000192128695,-1.562000192128695,1.0
1290000,1.4200611,-0.23470598,652.9285714285714,-1.4832145188535963,-1.4832145188535963,1.0
1300000,1.4202286,-0.35549062,742.4,-2.4004002173741656,-2.4004002173741656,1.0
